menu,afghanistan,bangladesh,bhutan,brunei,cambodia,east_timor,fiji,kiribati,laos,malaysia,micronesia,myanmar,nepal,pakistan,papua_new_guinea,solomon_islands,sri_lanka,syria,tonga,uzbekistan,vanuatu,vietnam,yemen,india,indonesia,Total,Fetched_date
incompatible tags,47.0,252.0,17.0,13.0,63.0,9.0,11.0,1.0,35.0,540.0,5.0,2033.0,325.0,198.0,19.0,3.0,180.0,120.0,3.0,310.0,10.0,1122.0,324.0,1713.0,1582.0,8935.0,2024-09-08 06:21:33.138713
"incorrect ""lanes""",2.0,116.0,1.0,69.0,0.0,0.0,0.0,0.0,1.0,1087.0,0.0,20.0,4.0,156.0,3.0,0.0,34.0,0.0,0.0,96.0,0.0,588.0,4.0,328.0,442.0,2951.0,2024-09-08 06:21:33.138713
incorrect layer,292.0,6157.0,83.0,86.0,97.0,84.0,85.0,5.0,695.0,1737.0,8.0,620.0,1312.0,637.0,119.0,3.0,547.0,269.0,1.0,620.0,7.0,1719.0,120.0,9732.0,6716.0,31751.0,2024-09-08 06:21:33.138713
incorrect tag,243.0,605.0,83.0,16.0,83.0,20.0,47.0,5.0,150.0,764.0,0.0,331.0,1724.0,388.0,103.0,1.0,965.0,342.0,3.0,2105.0,56.0,776.0,36.0,12601.0,4715.0,26162.0,2024-09-08 06:21:33.138713
indoor,46.0,35.0,0.0,2.0,2.0,1.0,13.0,0.0,0.0,135.0,2.0,24.0,4.0,37.0,78.0,0.0,7.0,6.0,2.0,3.0,0.0,83.0,1.0,267.0,134.0,882.0,2024-09-08 06:21:33.138713
invalid character,1392.0,498.0,20.0,12.0,675.0,4.0,15.0,0.0,547.0,596.0,0.0,2523.0,763.0,1668.0,7.0,9.0,275.0,879.0,5.0,2743.0,10.0,2207.0,493.0,2074.0,1090.0,18505.0,2024-09-08 06:21:33.138713
invalid polygon,2.0,6.0,10.0,0.0,0.0,0.0,1.0,0.0,6.0,14.0,0.0,14.0,5.0,19.0,2.0,0.0,8.0,10.0,0.0,4.0,0.0,5.0,0.0,52.0,16.0,174.0,2024-09-08 06:21:33.138713
junction=roundabout,20.0,35.0,0.0,12.0,13.0,0.0,0.0,0.0,11.0,321.0,0.0,19.0,7.0,354.0,3.0,0.0,3.0,28.0,0.0,35.0,0.0,312.0,3.0,1643.0,653.0,3472.0,2024-09-08 06:21:33.138713
local language,,6328.0,,1342.0,11363.0,15.0,33.0,9.0,,4801.0,71.0,39677.0,24348.0,,46.0,6.0,,2266.0,26.0,,,12381.0,923.0,0.0,18206.0,121841.0,2024-09-08 06:21:33.138713
missing object kind,179.0,2509.0,127.0,46.0,416.0,182.0,555.0,6.0,122.0,1142.0,24.0,820.0,3914.0,1949.0,30.0,35.0,864.0,555.0,2.0,480.0,71.0,6150.0,884.0,15399.0,9002.0,45463.0,2024-09-08 06:21:33.138713
missing tag or role,911.0,15883.0,381.0,2.0,850.0,69.0,116.0,1.0,256.0,718.0,8.0,4736.0,4359.0,2617.0,55.0,55.0,5214.0,490.0,3.0,2576.0,132.0,1476.0,556.0,22395.0,13629.0,77488.0,2024-09-08 06:21:33.138713
multiple,5.0,66.0,8.0,2.0,9.0,4.0,2.0,0.0,6.0,51.0,0.0,51.0,68.0,253.0,7.0,0.0,34.0,48.0,1.0,57.0,1.0,49.0,15.0,840.0,152.0,1729.0,2024-09-08 06:21:33.138713
multiple tags,57.0,44.0,3.0,18.0,24.0,11.0,4.0,0.0,167.0,1161.0,0.0,20.0,95.0,44.0,43.0,1.0,57.0,9.0,3.0,365.0,0.0,697.0,3.0,597.0,513.0,3936.0,2024-09-08 06:21:33.138713
